=== DDoS Attack Simulation Started at Sat Mar  1 22:27:36 UTC 2025 ===
[Sat Mar  1 22:27:36 UTC 2025] Starting http_flood.sh...
[Sat Mar  1 22:28:36 UTC 2025] Finished http_flood.sh.
[Sat Mar  1 22:28:46 UTC 2025] Starting ping_od.sh...
[Sat Mar  1 22:29:46 UTC 2025] Finished ping_od.sh.
[Sat Mar  1 22:29:56 UTC 2025] Starting slowloris.sh...
[Sat Mar  1 22:30:56 UTC 2025] Finished slowloris.sh.
[Sat Mar  1 22:31:06 UTC 2025] Starting syn_flood.sh...
[Sat Mar  1 22:32:06 UTC 2025] Finished syn_flood.sh.
[Sat Mar  1 22:32:16 UTC 2025] Starting udp_flood.sh...
[Sat Mar  1 22:33:16 UTC 2025] Finished udp_flood.sh.
=== DDoS Attack Simulation Finished at Sat Mar  1 22:33:26 UTC 2025 ===
